TestTime,ChipSN,init_chip_results
1692728361,3H00001,0
1692728375,3H00001,0
1692728394,3H0002,0
1692728427,3H0002,0
1692728464,3H0003,0
1692728501,3H0004,0
1692728539,3H0005,0
1692728572,3H0005,0
1692728609,3H0006,0
1692728642,3H0006,0
1692728680,3H0007,0
1692728717,3H0008,0
1692728750,3H0008,0
1692728787,3H0009,0
1692728819,3H0009,0
1692728856,3H0010,0
1692728894,3H0011,0
1692728927,3H0011,0
1692728964,3H0012,0
1692728997,3H0012,0
1692729034,3H0013,0
1692729072,3H0014,0
1692729104,3H0014,0
1692729141,3H0015,0
1692729179,3H0016,0
1692729217,3H0017,0
1692729250,3H0017,0
1692729287,3H0018,0
1692729320,3H0018,0
1692729358,3H0019,0
1692729395,3H0020,0
1692729432,3H0021,0
1692729469,3H0022,0
1692729502,3H0022,0
1692729539,3H0023,0
1692729576,3H0024,0
1692729614,3H0025,0
1692729651,3H0026,0
1692729684,3H0026,0
1692729721,3H0027,0
1692729754,3H0027,0
1692729791,3H0028,0
1692729829,3H0029,0
1692729866,3H0030,0
1692729899,3H0030,0
1692729936,3H0031,0
1692729969,3H0031,0
1692730006,3H0032,0
1692730039,3H0032,0
1692730076,3H0033,0
1692730114,3H0034,0
1692730151,3H0035,0
1692730188,3H0036,0
1692730226,3H0037,0
1692730259,3H0037,0
1692730297,3H0038,0
1692730334,3H0039,0
1692730367,3H0039,0
1692730404,3H0040,0
1692730437,3H0040,0
1692730475,3H0041,0
1692730512,3H0042,0
1692730550,3H0043,0
1692730582,3H0043,0
1692730620,3H0044,0
1692730653,3H0044,0
1692730690,3H0045,0
1692730728,3H0046,0
1692730761,3H0046,0
1692730798,3H0047,0
1692730835,3H0048,0
1692730868,3H0048,0
1692730906,3H0049,0
1692730939,3H0049,0
1692730976,3H0050,0
1692731013,3H0051,0
1692731051,3H0052,0
1692731088,3H0053,0
1692731125,3H0054,0
1692731163,3H0055,0
1692731196,3H0055,0
1692731233,3H0056,0
1692731270,3H0057,0
1692731307,3H0058,0
1692731345,3H0059,0
1692731382,3H0060,0
1692731420,3H0061,0
1692731453,3H0061,0
1692731490,3H0062,0
1692731524,3H0062,0
1692731560,3H0063,0
1692731594,3H0063,0
1692731632,3H0064,0
1692731665,3H0064,0
1692731702,3H0065,0
1692731735,3H0065,0
1692731772,3H0066,0
1692731810,3H0067,0
1692731847,3H0068,0
1692731884,3H0069,0
1692731921,3H0070,0
1692731959,3H0071,0
1692731991,3H0071,0
1692732029,3H0072,0
1692732067,3H0073,0
1692732099,3H0073,0
1692732137,3H0074,0
1692732170,3H0074,0
1692732207,3H0075,0
1692732244,3H0076,0
1692732277,3H0076,0
1692732315,3H0077,0
1692732352,3H0078,0
1692732390,3H0079,0
1692732427,3H0080,0
1692732464,3H0081,0
1692732502,3H0082,0
1692732539,3H0083,0
1692732576,3H0084,0
1692732614,3H0085,0
1692732651,3H0086,0
1692732684,3H0086,0
1692732721,3H0087,0
1692732754,3H0087,0
1692732791,3H0088,0
1692732828,3H0089,0
1692732866,3H0090,0
1692732904,3H0091,0
1692732936,3H0091,0
1692732974,3H0092,0
1692733007,3H0092,0
1692733045,3H0093,0
1692733077,3H0093,0
1692733116,3H0094,0
1692733149,3H0094,0
1692733187,3H0095,0
1692733225,3H0096,0
1692733263,3H0097,0
1692733296,3H0097,0
1692733334,3H0098,0
1692733367,3H0098,0
1692733404,3H0099,0
1692733419,3H0099,0
1692733438,3H0100,0
1692733476,3H0101,0
1692733514,3H0102,0
1692733547,3H0102,0
1692733584,3H0103,0
1692733599,3H0103,0
1692733619,3H0104,0
1692733657,3H0105,0
1692733695,3H0106,0
1692733733,3H0107,0
1692733770,3H0108,0
1692733809,3H0109,0
1692733846,3H0110,0
1692733861,3H0110,0
1692733880,3H0111,0
1692733913,3H0111,0
1692733951,3H0112,0
1692733984,3H0112,0
1692734022,3H0113,0
1692734060,3H0114,0
1692734093,3H0114,0
1692734131,3H0115,0
1692734145,3H0115,0
1692734165,3H0116,0
1692734198,3H0116,0
1692734236,3H0117,0
1692734274,3H0118,0
1692734312,3H0119,0
1692734350,3H0120,0
1692734388,3H0121,0
1692734426,3H0122,0
1692734459,3H0122,0
1692734497,3H0123,0
1692734534,3H0124,0
1692734567,3H0124,0
1692734605,3H0125,0
1692734643,3H0126,0
1692734681,3H0127,0
1692734713,3H0127,0
1692734751,3H0128,0
1692734783,3H0128,0
1692734821,3H0129,0
1692734854,3H0129,0
1692734892,3H0130,0
1692734930,3H0131,0
1692734967,3H0132,0
1692735000,3H0132,0
1692735038,3H0133,0
1692735071,3H0133,0
1692735109,3H0134,0
1692735142,3H0134,0
1692735180,3H0135,0
1692735213,3H0135,0
1692735250,3H0136,0
1692735288,3H0137,0
1692735321,3H0137,0
1692735359,3H0138,0
1692735392,3H0138,0
1692735430,3H0139,0
1692735463,3H0139,0
1692735501,3H0140,0
1692735539,3H0141,0
1692735555,3H0141,0
1692735577,3H0142,0
1692735611,3H0142,0
1692735649,3H0143,0
1692735682,3H0143,0
1692735720,3H0144,0
1692735752,3H0144,0
1692735790,3H0145,0
1692735823,3H0145,0
1692735861,3H0146,0
1692735899,3H0147,0
1692735937,3H0148,0
1692735975,3H0149,0
1692736008,3H0149,0
1692736046,3H0150,0
1692736079,3H0150,0
1692736117,3H0151,0
1692736150,3H0151,0
1692736188,3H0152,0
1692736226,3H0153,0
1692736264,3H0154,0
1692736302,3H0155,0
1692736335,3H0155,0
1692736372,3H0156,0
1692736405,3H0156,0
1692736443,3H0157,0
1692736476,3H0157,0
1692736513,3H0158,0
1692736551,3H0159,0
1692736589,3H0160,0
1692736621,3H0160,0
1692736659,3H0161,0
1692736691,3H0161,0
1692736729,3H0162,0
1692736762,3H0162,0
1692736800,3H0163,0
1692736832,3H0163,0
1692736870,3H0164,0
1692736903,3H0164,0
1692736941,3H0165,0
1692736973,3H0165,0
1692737011,3H0166,0
1692737049,3H0167,0
1692737087,3H0168,0
1692737120,3H0168,0
1692737158,3H0169,0
1692737196,3H0170,0
1692737228,3H0170,0
1692737266,3H0171,0
1692737299,3H0171,0
1692737337,3H0172,0
1692737369,3H0172,0
1692737407,3H0173,0
1692737439,3H0173,0
1692737478,3H0174,0
1692737510,3H0174,0
1692737548,3H0175,0
1692737586,3H0176,0
1692737624,3H0177,0
1692737656,3H0177,0
1692737695,3H0178,0
1692737733,3H0179,0
1692737765,3H0179,0
1692737804,3H0180,0
1692738252,3H0001,0
1692738269,3H0001,0
1692738288,3H0002,0
1692738326,3H0003,0
1692738363,3H0004,0
1692738396,3H0004,0
1692738433,3H0005,0
1692738470,3H0006,0
1692738503,3H0006,0
1692738541,3H0007,0
1692738578,3H0008,0
1692738615,3H0009,0
1692738648,3H0009,0
1692738685,3H0010,0
1692738722,3H0011,0
1692738755,3H0011,0
1692738792,3H0012,0
1692738830,3H0013,0
1692738862,3H0013,0
1692738900,3H0014,0
1692738937,3H0015,0
1692738975,3H0016,0
1692739012,3H0017,0
1692739044,3H0017,0
1692739082,3H0018,0
1692739114,3H0018,0
1692739152,3H0019,0
1692739185,3H0019,0
1692739222,3H0020,0
1692739255,3H0020,0
1692739293,3H0021,0
1692739330,3H0022,0
1692739368,3H0023,0
1692739406,3H0024,0
1692739443,3H0025,0
1692739480,3H0026,0
1692739518,3H0027,0
1692739555,3H0028,0
1692739588,3H0028,0
1692739625,3H0029,0
1692739658,3H0029,0
1692739696,3H0030,0
1692739729,3H0030,0
1692739766,3H0031,0
1692739798,3H0031,0
1692739836,3H0032,0
1692739868,3H0032,0
1692739906,3H0033,0
1692739939,3H0033,0
1692739976,3H0034,0
1692740014,3H0035,0
1692740047,3H0035,0
1692740084,3H0036,0
1692740122,3H0037,0
1692740159,3H0038,0
1692740191,3H0038,0
1692740229,3H0039,0
1692740266,3H0040,0
1692740299,3H0040,0
1692740337,3H0041,0
1692740374,3H0042,0
1692740407,3H0042,0
1692740444,3H0043,0
1692740481,3H0044,0
1692740514,3H0044,0
1692740551,3H0045,0
1692740589,3H0046,0
1692740621,3H0046,0
1692740659,3H0047,0
1692740696,3H0048,0
1692740729,3H0048,0
1692740766,3H0049,0
1692740799,3H0049,0
1692740837,3H0050,0
1692740874,3H0051,0
1692740907,3H0051,0
1692740944,3H0052,0
1692740977,3H0052,0
1692741015,3H0053,0
1692741052,3H0054,0
1692741090,3H0055,0
1692741123,3H0055,0
1692741160,3H0056,0
1692741197,3H0057,0
1692741235,3H0058,0
1692741272,3H0059,0
1692741305,3H0059,0
1692741343,3H0060,0
1692741380,3H0061,0
1692741417,3H0062,0
1692741454,3H0063,0
1692741487,3H0063,0
1692741525,3H0064,0
1692741562,3H0065,0
1692741595,3H0065,0
1692741633,3H0066,0
1692741670,3H0067,0
1692741708,3H0068,0
1692741741,3H0068,0
1692741778,3H0069,0
1692741815,3H0070,0
1692741848,3H0070,0
1692741885,3H0071,0
1692741918,3H0071,0
1692741955,3H0072,0
1692741993,3H0073,0
1692742026,3H0073,0
1692742063,3H0074,0
1692742096,3H0074,0
1692742133,3H0075,0
1692742170,3H0076,0
1692742207,3H0077,0
1692742245,3H0078,0
1692742277,3H0078,0
1692742315,3H0079,0
1692742352,3H0080,0
1692742390,3H0081,0
1692742422,3H0081,0
1692742459,3H0082,0
1692742496,3H0083,0
1692742534,3H0084,0
1692742571,3H0085,0
1692742608,3H0086,0
1692742645,3H0087,0
1692742678,3H0087,0
1692742716,3H0088,0
1692742749,3H0088,0
1692742786,3H0089,0
1692742824,3H0090,0
1692742861,3H0091,0
1692742894,3H0091,0
1692742932,3H0092,0
1692742965,3H0092,0
1692743002,3H0093,0
1692743035,3H0093,0
1692743073,3H0094,0
1692743106,3H0094,0
1692743144,3H0095,0
1692743182,3H0096,0
1692743220,3H0097,0
1692743253,3H0097,0
1692743291,3H0098,0
1692743329,3H0099,0
1692743343,3H0099,0
1692743363,3H0100,0
1692743396,3H0100,0
1692743434,3H0101,0
1692743472,3H0102,0
1692743505,3H0102,0
1692743543,3H0103,0
1692743558,3H0103,0
1692743577,3H0104,0
1692743615,3H0105,0
1692743653,3H0106,0
1692743691,3H0107,0
1692743729,3H0108,0
1692743762,3H0108,0
1692743800,3H0109,0
1692743833,3H0109,0
1692743871,3H0110,0
1692743886,3H0110,0
1692743905,3H0111,0
1692743943,3H0112,0
1692743976,3H0112,0
1692744013,3H0113,0
1692744052,3H0114,0
1692744085,3H0114,0
1692744123,3H0115,0
1692744138,3H0115,0
1692744157,3H0116,0
1692744195,3H0117,0
1692744228,3H0117,0
1692744266,3H0118,0
1692744304,3H0119,0
1692744337,3H0119,0
1692744374,3H0120,0
1692744407,3H0120,0
1692744445,3H0121,0
1692744483,3H0122,0
1692744521,3H0123,0
1692744558,3H0124,0
1692744596,3H0125,0
1692744634,3H0126,0
1692744667,3H0126,0
1692744706,3H0127,0
1692744738,3H0127,0
1692744776,3H0128,0
1692744809,3H0128,0
1692744847,3H0129,0
1692744880,3H0129,0
1692744917,3H0130,0
1692744955,3H0131,0
1692744993,3H0132,0
1692745026,3H0132,0
1692745064,3H0133,0
1692745097,3H0133,0
1692745134,3H0134,0
1692745167,3H0134,0
1692745204,3H0135,0
1692745242,3H0136,0
1692745280,3H0137,0
1692745313,3H0137,0
1692745351,3H0138,0
1692745389,3H0139,0
1692745422,3H0139,0
1692745460,3H0140,0
1692745493,3H0140,0
1692745530,3H0141,0
1692745547,3H0141,0
1692745570,3H0142,0
1692745607,3H0143,0
1692745640,3H0143,0
1692745678,3H0144,0
1692745711,3H0144,0
1692745748,3H0145,0
1692745781,3H0145,0
1692745819,3H0146,0
1692745857,3H0147,0
1692745895,3H0148,0
1692745933,3H0149,0
1692745971,3H0150,0
1692746004,3H0150,0
1692746041,3H0151,0
1692746074,3H0151,0
1692746112,3H0152,0
1692746150,3H0153,0
1692746182,3H0153,0
1692746220,3H0154,0
1692746258,3H0155,0
1692746296,3H0156,0
1692746329,3H0156,0
1692746367,3H0157,0
1692746400,3H0157,0
1692746437,3H0158,0
1692746475,3H0159,0
1692746508,3H0159,0
1692746546,3H0160,0
1692746578,3H0160,0
1692746616,3H0161,0
1692746654,3H0162,0
1692746686,3H0162,0
1692746725,3H0163,0
1692746757,3H0163,0
1692746795,3H0164,0
1692746828,3H0164,0
1692746866,3H0165,0
1692746899,3H0165,0
1692746936,3H0166,0
1692746975,3H0167,0
1692747007,3H0167,0
1692747045,3H0168,0
1692747083,3H0169,0
1692747121,3H0170,0
1692747159,3H0171,0
1692747191,3H0171,0
1692747229,3H0172,0
1692747262,3H0172,0
1692747300,3H0173,0
1692747333,3H0173,0
1692747371,3H0174,0
1692747404,3H0174,0
1692747442,3H0175,0
1692747475,3H0175,0
1692747512,3H0176,0
1692747545,3H0176,0
1692747583,3H0177,0
1692747616,3H0177,0
1692747654,3H0178,0
1692747692,3H0179,0
1692747725,3H0179,0
1692747763,3H0180,0
